com.medigy.persist.reference.type.clincial.Icd9.code,shortDescr,mediumDescr,longDescr
376.6,OLD FOREIGN BODY ORBIT,OLD FB AFTER PENETRAT ORBITL WOUND,RETAINED (OLD) FOREIGN BODY FOLLOWING PENETRATING WOUND OF ORBIT
376.81,ORBITAL CYSTS,ORBITAL CYSTS,ORBITAL CYSTS
376.82,EXTRAOCUL MUSCL MYOPATHY,MYOPATHY EXTRAOCULAR MUSCLES,MYOPATHY OF EXTRAOCULAR MUSCLES
376.89,ORBITAL DISORDERS OT,OTH ORBITAL DISORDERS,OTHER ORBITAL DISORDERS
376.9,ORBITAL DISORDER UNSPEC,UNS DISORDER ORBIT,UNSPECIFIED DISORDER OF ORBIT
377,PAPILLEDEMA UNSPEC,UNS PAPILLEDEMA,PAPILLEDEMA UNSPECIFIED
377.01,PAPILLEDEMA W INCR PRESS,PAPILLEDEMA W INTRACRANIAL PRESS,PAPILLEDEMA ASSOCIATED WITH INCREASED INTRACRANIAL PRESSURE
377.02,PAPILLEDEMA W DECR PRESS,PAPILLEDEMA W DECREASED OCULAR PRES,PAPILLEDEMA ASSOCIATED WITH DECREASED OCULAR PRESSURE
377.03,PAPILLEDEMA W RETINA DIS,PAPILLEDEMA W RETINAL DISORDER,PAPILLEDEMA ASSOCIATED WITH RETINAL DISORDER
377.04,FOSTER KENNEDY SYNDROME,FOSTER KENNEDY SYNDROME,FOSTER-KENNEDY SYNDROME
377.1,OPTIC ATROPHY UNSPEC,UNS OPTIC ATROPHY,OPTIC ATROPHY UNSPECIFIED
377.11,PRIMARY OPTIC ATROPHY,PRIMARY OPTIC ATROPHY,PRIMARY OPTIC ATROPHY
377.12,POSTINFLAM OPTIC ATROPHY,POSTINFLAMMATORY OPTIC ATROPHY,POSTINFLAMMATORY OPTIC ATROPHY
377.13,OPTIC ATROPHY W RETIN DYST,OPTIC ATROPHY W RETINAL DYSTROPHIES,OPTIC ATROPHY ASSOCIATED WITH RETINAL DYSTROPHIES
377.14,CUPPING OF OPTIC DISC,GLAUCOMATOUS ATROPHY OPTIC DISC,GLAUCOMATOUS ATROPHY (CUPPING) OF OPTIC DISC
377.15,PARTIAL OPTIC ATROPHY,PARTIAL OPTIC ATROPHY,PARTIAL OPTIC ATROPHY
377.16,HEREDITARY OPTIC ATROPHY,HEREDITARY OPTIC ATROPHY,HEREDITARY OPTIC ATROPHY
377.21,DRUSEN OF OPTIC DISC,DRUSEN OPTIC DISC,DRUSEN OF OPTIC DISC
377.22,CRATER LIKE HOLE OP DISC,CRATER LIKE HOLES OPTIC DISC,CRATER-LIKE HOLES OF OPTIC DISC
377.23,COLOBOMA OF OPTIC DISC,COLOBOMA OPTIC DISC,COLOBOMA OF OPTIC DISC
377.24,PSEUDOPAPILLEDEMA,PSEUDOPAPILLEDEMA,PSEUDOPAPILLEDEMA
377.3,OPTIC NEURITIS UNSPEC,UNS OPTIC NEURITIS,OPTIC NEURITIS UNSPECIFIED
377.31,OPTIC PAPILLITIS,OPTIC PAPILLITIS,OPTIC PAPILLITIS
377.32,RETROBULBAR NEURITIS,RETROBULBAR NEURITIS,RETROBULBAR NEURITIS (ACUTE)
377.33,NUTRITION OPTC NEUROPTHY,NUTRITIONAL OPTIC NEUROPATHY,NUTRITIONAL OPTIC NEUROPATHY
377.34,TOXIC OPTIC NEUROPATHY,TOXIC OPTIC NEUROPATHY,TOXIC OPTIC NEUROPATHY
377.39,OPTIC NEURITIS OT,OTH OPTIC NEURITIS,OTHER OPTIC NEURITIS
377.41,ISCHEMIC OPTIC NEUROPTHY,ISCHEMIC OPTIC NEUROPATHY,ISCHEMIC OPTIC NEUROPATHY
377.42,OPTIC NERVE SHEATH HEMOR,HEMORRHAGE IN OPTIC NERVE SHEATHS,HEMORRHAGE IN OPTIC NERVE SHEATHS
377.49,OPTIC NERVE DISORDER OT,OTH DISORDERS OPTIC NERVE,OTHER DISORDERS OF OPTIC NERVE
377.51,OPTIC CHIASM W PITUIT DIS,OPTIC CHIASM DISORD W PITUITARY NEO,DISORDERS OF OPTIC CHIASM ASSOCIATED WITH PITUITARY NEOPLASMS AND DISORDERS
377.52,OPTIC CHIASM DIS/NEO OT,OPTIC CHIASM DISORD SEV OTH NEO,DISORDERS OF OPTIC CHIASM ASSOCIATED WITH OTHER NEOPLASMS
377.53,OPTIC CHIASM W VASCUL DIS,OPTIC CHIASM DISORD W VASCULAR DIS,DISORDERS OF OPTIC CHIASM ASSOCIATED WITH VASCULAR DISORDERS
377.54,OP CHIASM DIS W INFL DIS,OPTIC CHIASM DISORD SEV INFLAM DIS,DISORDERS OF OPTIC CHIASM ASSOCIATED WITH INFLAMMATORY DISORDERS
377.61,VISUAL PATH DIS W NEOPLASMS,OTH VISUAL PATHWAY DIS SEV NEO,DISORDERS OF OTHER VISUAL PATHWAYS ASSOCIATED WITH NEOPLASMS
377.62,VISUAL PATH DIS W VASC DIS,OTH VISUAL PATH DIS SEV VASCUL DIS,DISORDERS OF OTHER VISUAL PATHWAYS ASSOCIATED WITH VASCULAR DISORDERS
377.63,VISUAL PATH DIS W INFL DIS,OTH VISUAL PATHWAY DIS SEV INFLAM,DISORDERS OF OTHER VISUAL PATHWAYS ASSOCIATED WITH INFLAMMATORY DISORDERS
377.71,VISUAL CORTX DIS W NEOPLASM,VISUAL CORTEX DISORDERS W NEO,DISORDERS OF VISUAL CORTEX ASSOCIATED WITH NEOPLASMS
377.72,VISUAL CORTX DIS W VASC DIS,VISUAL CORTEX DISORDERS SEV VASC,DISORDERS OF VISUAL CORTEX ASSOCIATED WITH VASCULAR DISORDERS
377.73,VISUAL CORTEX DIS W INFLAM,VISUAL CORTEX DISORD SEV INFLAM,DISORDERS OF VISUAL CORTEX ASSOCIATED WITH INFLAMMATORY DISORDERS
377.75,CORTICAL BLINDNESS,CORTICAL BLINDNESS,CORTICAL BLINDNESS
377.9,OPTIC NERVE DISORDER UNSPEC,UNS DISORDER OPTIC NERVE,UNSPECIFIED DISORDER OF OPTIC NERVE AND VISUAL PATHWAYS
378,ESOTROPIA UNSPEC,UNS ESOTROPIA,ESOTROPIA UNSPECIFIED
378.01,MONOCULAR ESOTROPIA,MONOCULAR ESOTROPIA,MONOCULAR ESOTROPIA
378.02,MONOC ESOTROP W A PATTERN,MONOCULAR ESOTROPIA W A PATTERN,MONOCULAR ESOTROPIA WITH A PATTERN
378.03,MONOC ESOTROP W V PATTERN,MONOCULAR ESOTROPIA W V PATTERN,MONOCULAR ESOTROPIA WITH V PATTERN
378.04,MONOC ESOTROP W X/Y PATTERN,MONOCULAR ESOTROPIA W OTH NONCOM,MONOCULAR ESOTROPIA WITH OTHER NONCOMITANCIES
378.05,ALTERNATING ESOTROPIA,ALTERNATING ESOTROPIA,ALTERNATING ESOTROPIA
378.06,ALT ESOTROPIA W A PATTERN,ALTERNATING ESOTROPIA W A PATTERN,ALTERNATING ESOTROPIA WITH A PATTERN
378.07,ALT ESOTROPIA W V PATTERN,ALTERNATING ESOTROPIA W V PATTERN,ALTERNATING ESOTROPIA WITH V PATTERN
378.08,ALT ESOTROP W X/Y PATTERN,ALTERNATING ESOTROPIA W OTH NONCOM,ALTERNATING ESOTROPIA WITH OTHER NONCOMITANCIES
378.1,EXOTROPIA UNSPEC,UNS EXOTROPIA,EXOTROPIA UNSPECIFIED
378.11,MONOCULAR EXOTROPIA,MONOCULAR EXOTROPIA,MONOCULAR EXOTROPIA
378.12,MONOC EXOTROP W A PATTERN,MONOCULAR EXOTROPIA W A PATTERN,MONOCULAR EXOTROPIA WITH A PATTERN
378.13,MONOC EXOTROP W V PATTERN,MONOCULAR EXOTROPIA W V PATTERN,MONOCULAR EXOTROPIA WITH V PATTERN
378.14,MONOC EXOTROP W X/Y PATTERN,MONOCULAR EXOTROPIA W OTH NONCOMIT,MONOCULAR EXOTROPIA WITH OTHER NONCOMITANCIES
378.15,ALTERNATING EXOTROPIA,ALTERNATING EXOTROPIA,ALTERNATING EXOTROPIA
378.16,ALT EXOTROPIA W A PATTERN,ALTERNATING EXOTROPIA W A PATTERN,ALTERNATING EXOTROPIA WITH A PATTERN
378.17,ALT EXOTROPIA W V PATTERN,ALTERNATING EXOTROPIA W V PATTERN,ALTERNATING EXOTROPIA WITH V PATTERN
378.18,ALT EXOTROP W X/Y PATTERN,ALTERNATING EXOTROPIA W OTH NONCOM,ALTERNATING EXOTROPIA WITH OTHER NONCOMITANCIES
378.2,INTERMIT HETEROTROP UNSPEC,UNS INTERMITTENT HETEROTROPIA,INTERMITTENT HETEROTROPIA UNSPECIFIED
378.21,INTERMIT MONOC ESOTROPIA,INTERMITTENT ESOTROPIA MONOCULAR,INTERMITTENT ESOTROPIA MONOCULAR
378.22,INTERMIT ALTRN ESOTROPIA,INTERMITTENT ESOTROPIA ALTERNATING,INTERMITTENT ESOTROPIA ALTERNATING
378.23,INTERMIT MONOC EXOTROPIA,INTERMITTENT EXOTROPIA MONOCULAR,INTERMITTENT EXOTROPIA MONOCULAR
378.24,INTERMIT ALTRN EXOTROPIA,INTERMITTENT EXOTROPIA ALTERNATING,INTERMITTENT EXOTROPIA ALTERNATING
378.3,HETEROTROPIA UNSPEC,UNS HETEROTROPIA,HETEROTROPIA UNSPECIFIED
378.31,HYPERTROPIA,HYPERTROPIA,HYPERTROPIA
378.32,HYPOTROPIA,HYPOTROPIA,HYPOTROPIA
378.33,CYCLOTROPIA,CYCLOTROPIA,CYCLOTROPIA
378.34,MONOFIXATION SYNDROME,MONOFIXATION SYNDROME,MONOFIXATION SYNDROME
378.35,ACCOMMODATIVE ESOTROPIA,ACCOMMODATIVE COMPONENT IN ESOTROP,ACCOMMODATIVE COMPONENT IN ESOTROPIA
378.4,HETEROPHORIA UNSPEC,UNS HETEROPHORIA,HETEROPHORIA UNSPECIFIED
378.41,ESOPHORIA,ESOPHORIA,ESOPHORIA
378.42,EXOPHORIA,EXOPHORIA,EXOPHORIA
378.43,VERTICAL HETEROPHORIA,VERTICAL HETEROPHORIA,VERTICAL HETEROPHORIA
378.44,CYCLOPHORIA,CYCLOPHORIA,CYCLOPHORIA
378.45,ALTERNATING HYPERPHORIA,ALTERNATING HYPERPHORIA,ALTERNATING HYPERPHORIA
378.5,PARALYTIC STRABISMUS UNSPEC,UNS PARALYTIC STRABISMUS,PARALYTIC STRABISMUS UNSPECIFIED
378.51,PARTIAL THIRD NERV PALSY,THIRD/OCULOMOTOR NERVE PALSY PART,THIRD OR OCULOMOTOR NERVE PALSY PARTIAL
378.52,TOTAL THIRD NERVE PALSY,THIRD/OCULOMOTOR NERVE PALSY TOTAL,THIRD OR OCULOMOTOR NERVE PALSY TOTAL
378.53,FOURTH NERVE PALSY,FOURTH/TROCHLEAR NERVE PALSY,FOURTH OR TROCHLEAR NERVE PALSY
378.54,SIXTH NERVE PALSY,SIXTH/ABDUCENS NERVE PALSY,SIXTH OR ABDUCENS NERVE PALSY
378.55,EXTERNAL OPHTHALMOPLEGIA,EXTERNAL OPHTHALMOPLEGIA,EXTERNAL OPHTHALMOPLEGIA
378.56,TOTAL OPHTHALMOPLEGIA,TOTAL OPHTHALMOPLEGIA,TOTAL OPHTHALMOPLEGIA
378.6,MECHANICAL STRABISM UNSPEC,UNS MECHANICAL STRABISMUS,MECHANICAL STRABISMUS UNSPECIFIED
378.61,BROWN'S SHEATH SYNDROME,BROWN'S SHEATH SYNDROME,BROWN'S (TENDON) SHEATH SYNDROME
378.62,MECH STRAB MUSCL DIS,MECH STRABISMUS OTH MUSCULOFAS,MECHANICAL STRABISMUS FROM OTHER MUSCULOFASCIAL DISORDERS
378.63,MECH STRAB W OT CONDITN,LIMITED DUCTION W OTH CONDITIONS,LIMITED DUCTION ASSOCIATED WITH OTHER CONDITIONS
378.71,DUANE'S SYNDROME,DUANE'S SYNDROME,DUANE'S SYNDROME
378.72,PROG EXT OPHTHALMOPLEGIA,PROGRESSIVE EXTERNAL OPHTHALMOPLEG,PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA
378.73,NEUROMUSCLE DIS STRABISM,STRABISMUS IN OTH NEUROMUSCULAR DIS,STRABISMUS IN OTHER NEUROMUSCULAR DISORDERS
378.81,PALSY OF CONJUGATE GAZE,PALSY CONJUGATE GAZE,PALSY OF CONJUGATE GAZE
378.82,SPASM OF CONJUGATE GAZE,SPASM CONJUGATE GAZE,SPASM OF CONJUGATE GAZE
378.83,CONVERGENC INSUFFICIENCY,CONVERGENCE INSUFFICIENCY/PALSY,CONVERGENCE INSUFFICIENCY OR PALSY
378.84,CONVERGENCE EXCESS,CONVERGENCE EXCESS/SPASM,CONVERGENCE EXCESS OR SPASM
378.85,ANOMALIES OF DIVERGENCE,ANOMALIES DIVERGENCE,ANOMALIES OF DIVERGENCE
378.86,INTERNUCLEAR OPHTHALMOPLEGIA,INTERNUCLEAR OPHTHALMOPLEGIA,INTERNUCLEAR OPHTHALMOPLEGIA
378.87,SKEW DEVIATION EYE,OTH DISSOCIATED DEVIATION EYE MOVE,OTHER DISSOCIATED DEVIATION OF EYE MOVEMENTS
378.9,EYE MOVEMNT DISORDER UNSPEC,UNS DISORDER EYE MOVEMENTS,UNSPECIFIED DISORDER OF EYE MOVEMENTS
379,SCLERITIS UNSPEC,UNS SCLERITIS,SCLERITIS UNSPECIFIED
379.01,EPISCLERITIS PERIODICA FUGAX,EPISCLERITIS PERIODICA FUGAX,EPISCLERITIS PERIODICA FUGAX
379.02,NODULAR EPISCLERITIS,NODULAR EPISCLERITIS,NODULAR EPISCLERITIS
379.03,ANTERIOR SCLERITIS,ANTERIOR SCLERITIS,ANTERIOR SCLERITIS
379.04,SCLEROMALACIA PERFORANS,SCLEROMALACIA PERFORANS,SCLEROMALACIA PERFORANS
379.05,SCLERITIS W CORNEA INVOL,SCLERITIS W CORNEAL INVOLVEMENT,SCLERITIS WITH CORNEAL INVOLVEMENT
379.06,BRAWNY SCLERITIS,BRAWNY SCLERITIS,BRAWNY SCLERITIS
379.07,POSTERIOR SCLERITIS,POSTERIOR SCLERITIS,POSTERIOR SCLERITIS
379.09,SCLERITIS OT,OTH SCLERITIS/EPISCLERITIS,OTHER SCLERITIS
379.11,SCLERAL ECTASIA,SCLERAL ECTASIA,SCLERAL ECTASIA
379.12,STAPHYLOMA POSTICUM,STAPHYLOMA POSTICUM,STAPHYLOMA POSTICUM
379.13,EQUATORIAL STAPHYLOMA,EQUATORIAL STAPHYLOMA,EQUATORIAL STAPHYLOMA
379.14,LOCAL ANTERIOR STAPHYLMA,ANTERIOR STAPHYLOMA LOCALIZED,ANTERIOR STAPHYLOMA LOCALIZED
379.15,RING STAPHYLOMA,RING STAPHYLOMA,RING STAPHYLOMA
379.16,SCLERAL DEGEN DIS OT,OTH DEGENERATIVE DISORDERS SCLERA,OTHER DEGENERATIVE DISORDERS OF SCLERA
379.19,DISORDER OF SCLERA OT,OTH DISORDERS SCLERA,OTHER SCLERAL DISORDERS
379.21,VITREOUS DEGENERATION,VITREOUS DEGENERATION,VITREOUS DEGENERATION
379.22,CRYSTAL DEPOSIT VITREOUS,CRYSTALLINE DEPOSITS IN VITREOUS,CRYSTALLINE DEPOSITS IN VITREOUS
379.23,VITREOUS HEMORRHAGE,VITREOUS HEMORRHAGE,VITREOUS HEMORRHAGE
379.24,VITREOUS OPACITIES OT,OTH VITREOUS OPACITIES,OTHER VITREOUS OPACITIES
379.25,VITREOUS MEMBRANES,VITREOUS MEMBRANES/STRANDS,VITREOUS MEMBRANES AND STRANDS
379.26,VITREOUS PROLAPSE,VITREOUS PROLAPSE,VITREOUS PROLAPSE
379.29,VITREOUS DISORDERS OT,OTH DISORDERS VITREOUS,OTHER DISORDERS OF VITREOUS
379.31,APHAKIA,APHAKIA,APHAKIA
379.32,SUBLUXATION OF LENS,SUBLUXATION LENS,SUBLUXATION OF LENS
379.33,ANTERIOR DISLOCATION OF LENS,ANTERIOR DISLOCATION LENS,ANTERIOR DISLOCATION OF LENS
379.34,POSTERIOR DISLOCATION LENS,POSTERIOR DISLOCATION LENS,POSTERIOR DISLOCATION OF LENS
379.39,DISORDERS OF LENS OT,OTH DISORDERS LENS,OTHER DISORDERS OF LENS
379.4,ABN PUPIL FUNCTION UNSPEC,UNS ABNORMAL PUPILLARY FUNCTION,ABNORMAL PUPILLARY FUNCTION UNSPECIFIED
379.41,ANISOCORIA,ANISOCORIA,ANISOCORIA
379.42,MIOSIS NOT MIOTICS,MIOSIS NOT MIOTICS,MIOSIS (PERSISTENT) NOT DUE TO MIOTICS
379.43,MYDRIASIS NOT MYDRTC,MYDRIASIS NOT MYDRIATICS,MYDRIASIS (PERSISTENT) NOT DUE TO MYDRIATICS
379.45,ARGYLL ROBERTSON PUPIL,ARGYLL ROBERTSON PUPIL ATYPICAL,ARGYLL ROBERTSON PUPIL ATYPICAL
379.46,TONIC PUPILLARY REACTION,TONIC PUPILLARY REACTION,TONIC PUPILLARY REACTION
379.49,PUPIL FUNCT ANOMALY OT,OTH ANOMALIES PUPILLARY FUNCTION,OTHER ANOMALIES OF PUPILLARY FUNCTION
379.5,NYSTAGMUS UNSPEC,NYSTAGMUS UNSPEC,NYSTAGMUS UNSPECIFIED
379.51,CONGENITAL NYSTAGMUS,CONGENITAL NYSTAGMUS,CONGENITAL NYSTAGMUS
379.52,LATENT NYSTAGMUS,LATENT NYSTAGMUS,LATENT NYSTAGMUS
379.53,VISUAL DEPRIVATN NYSTAGM,VISUAL DEPRIVATION NYSTAGMUS,VISUAL DEPRIVATION NYSTAGMUS
379.54,NYSTAGMUS W VESTIBULR DIS,NYSTAGMUS W VESTIBULAR SYSTEM DIS,NYSTAGMUS ASSOCIATED WITH DISORDERS OF THE VESTIBULAR SYSTEM
379.55,DISSOCIATED NYSTAGMUS,DISSOCIATED NYSTAGMUS,DISSOCIATED NYSTAGMUS
379.56,NYSTAGMUS OT,OTH FORMS NYSTAGMUS,OTHER FORMS OF NYSTAGMUS
379.57,SACCADIC EYE MOVEMENT DEF,DEFICIENCIES SACCADIC EYE MOVEMENTS,DEFICIENCIES OF SACCADIC EYE MOVEMENTS
379.58,SMOOTPURSUIT MOVEMENT DEF,DEFICIENCIES SMOOTH PURSUIT MOVEM,DEFICIENCIES OF SMOOTH PURSUIT MOVEMENTS
379.59,IRREGULAR EYE MOVEMENTS OT,OTH IRREGULARITIES EYE MOVEMENTS,OTHER IRREGULARITIES OF EYE MOVEMENTS
379.8,EYE DISORDERS OT,OTHER DISORDERS EYE/ADNEXA,OTHER SPECIFIED DISORDERS OF EYE AND ADNEXA
379.9,EYE DISORDER UNSPEC,UNS DISORDER EYE,DISORDER OF EYE UNSPECIFIED
379.91,PAIN IN OR AROUND EYE,PAIN IN/AROUND EYE,PAIN IN OR AROUND EYE
379.92,SWELLING OR MASS OF EYE,SWELLING/MASS EYE,SWELLING OR MASS OF EYE
379.93,REDNESS/DISCHARGE OF EYE,REDNESS/DISCHARGE EYE,REDNESS OR DISCHARGE OF EYE
379.99,ILL DEFINED EYE DIS OT,OTH ILL DEFINED DISORDERS EYE,OTHER ILL-DEFINED DISORDERS OF EYE
380,PERICHONDRITIS PINNA UNSPEC,UNS PERICHONDRITIS PINNA,PERICHONDRITIS OF PINNA UNSPECIFIED
380.01,ACUTE PERICHONDRITIS PINNA,ACUTE PERICHONDRITIS PINNA,ACUTE PERICHONDRITIS OF PINNA
380.02,CHRON PERICHONDRITIS PINNA,CHRONIC PERICHONDRITIS PINNA,CHRONIC PERICHONDRITIS OF PINNA
380.1,INFEC OTITIS EXTERNA UNSPEC,UNS INFECTIVE OTITIS EXTERNA,INFECTIVE OTITIS EXTERNA UNSPECIFIED
380.11,ACUTE INFECTION OF PINNA,ACUTE INFECTION PINNA,ACUTE INFECTION OF PINNA
380.12,ACUTE SWIMMERS EAR,ACUTE SWIMMERS' EAR,ACUTE SWIMMERS' EAR
380.13,ACUTE INFECT EXTERN EAR OT,OTH ACUTE INFECTIONS EXTERNAL EAR,OTHER ACUTE INFECTIONS OF EXTERNAL EAR
380.14,MALIGNANT OTITIS EXTERNA,MALIGNANT OTITIS EXTERNA,MALIGNANT OTITIS EXTERNA
380.15,CHRON MYCOT OTITIS EXTERNA,CHRONIC MYCOTIC OTITIS EXTERNA,CHRONIC MYCOTIC OTITIS EXTERNA
380.16,CHRON INF OTIT EXTERNA OT,OTH CHRONIC INFECTIVE OTITIS EXT,OTHER CHRONIC INFECTIVE OTITIS EXTERNA
380.21,CHOLESTEATOMA EXTERN EAR,CHOLESTEATOMA EXTERNAL EAR,CHOLESTEATOMA OF EXTERNAL EAR
380.22,ACUTE OTITIS EXTERNA OT,OTH ACUTE OTITIS EXTERNA,OTHER ACUTE OTITIS EXTERNA
380.23,CHRON OTITIS EXTERNA OT,OTH CHRONIC OTITIS EXTERNA,OTHER CHRONIC OTITIS EXTERNA
380.3,DISORDER OF PINNA UNSPEC,UNS DISORDER PINNA,DISORDER OF PINNA UNSPECIFIED
380.31,HEMATOMA AURICLE/PINNA,HEMATOMA AURICLE/PINNA,HEMATOMA OF AURICLE OR PINNA
380.32,ACQ DEFORM AURICLE/PINNA,ACQUIRED DEFORMITIES AURICLE/PINNA,ACQUIRED DEFORMITIES OF AURICLE OR PINNA
380.39,NONINFECT DIS PINNA OT,OTH NONINFECTIOUS DISORDERS PINNA,OTHER NONINFECTIOUS DISORDERS OF PINNA
380.4,IMPACTED CERUMEN,IMPACTED CERUMEN,IMPACTED CERUMEN
380.5,ACQ STEUNSP EAR CANAL UNS,ACQ STENOSIS EXT EAR CANAL UNS,ACQUIRED STENOSIS OF EXTERNAL EAR CANAL UNSPECIFIED AS TO CAUSE
380.51,STENOSIS EAR TRAUMA,ACQ STENOSIS EXT EAR CANAL TRAUMA,ACQUIRED STENOSIS OF EXTERNAL EAR CANAL SECONDARY TO TRAUMA
380.52,STENOSIS EAR SURGERY,ACQ STENOSIS EXT EAR CANAL SURGERY,ACQUIRED STENOSIS OF EXTERNAL EAR CANAL SECONDARY TO SURGERY
380.53,STENOSIS EAR INFLAM,ACQ STENOSIS EXT EAR CANAL INFLAM,ACQUIRED STENOSIS OF EXTERNAL EAR CANAL SECONDARY TO INFLAMMATION
380.81,EXOSTOSIS EXT EAR CANAL,EXOSTOSIS EXTERNAL EAR CANAL,EXOSTOSIS OF EXTERNAL EAR CANAL
380.89,DIS EXTERNAL EAR OT,OTH DISORDERS EXTERNAL EAR,OTHER DISORDERS OF EXTERNAL EAR
380.9,DIS EXTERNAL EAR UNSPEC,UNS DISORDER EXTERNAL EAR,UNSPECIFIED DISORDER OF EXTERNAL EAR
381,ACUTE NONSUP OTITIS MEDIA,UNS ACUTE NONSUPPUR OTITIS MEDIA,ACUTE NONSUPPURATIVE OTITIS MEDIA UNSPECIFIED
381.01,ACUTE SEROUS OTITIS MEDIA,ACUTE SEROUS OTITIS MEDIA,ACUTE SEROUS OTITIS MEDIA
381.02,ACUTE MUCOID OTITIS MEDIA,ACUTE MUCOID OTITIS MEDIA,ACUTE MUCOID OTITIS MEDIA
381.03,ACUTE SANGUIN OTITIS MEDIA,ACUTE SANGUINOUS OTITIS MEDIA,ACUTE SANGUINOUS OTITIS MEDIA
381.04,ACUTE ALLERGIC SEROUS OM,ACUTE ALLERGIC SEROUS OTITIS MEDIA,ACUTE ALLERGIC SEROUS OTITIS MEDIA
381.05,ACUTE ALLERGIC MUCOID OM,ACUTE ALLERGIC MUCOID OTITIS MEDIA,ACUTE ALLERGIC MUCOID OTITIS MEDIA
381.06,ACUTE ALLERG SANGUINOUS OM,ACUTE ALLERGIC SANGUIN OTITIS MEDIA,ACUTE ALLERGIC SANGUINOUS OTITIS MEDIA
381.1,CHRON SEROUS OM SIMP/UNSPEC,SIMPLE CHRONIC SEROUS OTITIS MEDIA,CHRONIC SEROUS OTITIS MEDIA SIMPLE OR UNSPECIFIED
381.19,CHRON SEROUS OM OT,OTH CHRONIC SEROUS OTITIS MEDIA,OTHER CHRONIC SEROUS OTITIS MEDIA
381.2,CHRON MUCOID OM SIMP/UNSPEC,SIMPLE CHRONIC MUCOID OTITIS MEDIA,CHRONIC MUCOID OTITIS MEDIA SIMPLE OR UNSPECIFIED
381.29,CHRON MUCOID OM OT,OTH CHRONIC MUCOID OTITIS MEDIA,OTHER CHRONIC MUCOID OTITIS MEDIA
381.3,CHRON NONSUP OM UNSPEC/OT,OTH CHRONIC NONSUPPUR OTITIS MEDIA,OTHER AND UNSPECIFIED CHRONIC NONSUPPURATIVE OTITIS MEDIA
381.4,NONSUPP OTITIS MEDIA UNSPEC,NONSUPPURATIVE OTITIS MEDIA,NONSUPPURATIVE OTITIS MEDIA NOT SPECIFIED AS ACUTE OR CHRONIC
381.5,EUSTACHIAN SALPING UNSPEC,UNS EUSTACHIAN SALPINGITIS,EUSTACHIAN SALPINGITIS UNSPECIFIED
381.51,ACUTE EUSTACHIAN SALPING,ACUTE EUSTACHIAN SALPINGITIS,ACUTE EUSTACHIAN SALPINGITIS
381.52,CHRON EUSTACHIAN SALPING,CHRONIC EUSTACHIAN SALPINGITIS,CHRONIC EUSTACHIAN SALPINGITIS
381.6,OBSTR EUSTACH TUBE UNSPEC,UNS OBSTRUCTION EUSTACHIAN TUBE,OBSTRUCTION OF EUSTACHIAN TUBE UNSPECIFIED
381.61,OSSEOUS EUSTACHIAN OBSTR,OSSEOUS OBSTRUCTION EUSTACHIAN TUBE,OSSEOUS OBSTRUCTION OF EUSTACHIAN TUBE
381.62,INTRINSIC EUSTACH OBSTR,INTRINSIC CARTILAG EUSTACHIAN OBSTR,INTRINSIC CARTILAGENOUS OBSTRUCTION OF EUSTACHIAN TUBE
381.63,EXTRINSIC EUSTACH OBSTR,EXTRINSIC CARTILAG EUSTACHIAN OBSTR,EXTRINSIC CARTILAGENOUS OBSTRUCTION OF EUSTACHIAN TUBE
381.7,PATULOUS EUSTACHIAN TUBE,PATULOUS EUSTACHIAN TUBE,PATULOUS EUSTACHIAN TUBE
381.81,DYSFUNCT EUSTACHIAN TUBE,DYSFUNCTION EUSTACHIAN TUBE,DYSFUNCTION OF EUSTACHIAN TUBE
381.89,EUSTACHIAN TUBE DIS OT,OTH DISORDERS EUSTACHIAN TUBE,OTHER DISORDERS OF EUSTACHIAN TUBE
381.9,EUSTACHIAN TUBE DIS UNSPEC,UNS EUSTACHIAN TUBE DISORDER,UNSPECIFIED EUSTACHIAN TUBE DISORDER
382,ACUTE SUPP OTITIS MEDIA UNS,AC SUPPURAT OTITIS MEDIA WO RUPT,ACUTE SUPPURATIVE OTITIS MEDIA WITHOUT SPONTANEOUS RUPTURE OF EARDRUM
382.01,ACUTE SUPP OM W DRUM RUPT,AC SUPPURAT OTITIS MEDIA W RUPTURE,ACUTE SUPPURATIVE OTITIS MEDIA WITH SPONTANEOUS RUPTURE OF EARDRUM
382.02,ACUTE SUPP OM IN OT DIS,AC SUPPUR OTITIS MEDIA IN DISEASE,ACUTE SUPPURATIVE OTITIS MEDIA IN DISEASES CLASSIFIED ELSEWHERE
382.1,CHRON TUBOTYMPAN SUPPUR OM,CHR TUBOTYMPANIC SUPP OTITIS MEDIA,CHRONIC TUBOTYMPANIC SUPPURATIVE OTITIS MEDIA
382.2,CHRON ATTICOANTRAL SUP OM,CHR ATTICOANTRAL SUPP OTITIS MEDIA,CHRONIC ATTICOANTRAL SUPPURATIVE OTITIS MEDIA
382.3,CHRON SUP OTITIS MEDIA UNS,UNS CHRONIC SUPPUR OTITIS MEDIA,UNSPECIFIED CHRONIC SUPPURATIVE OTITIS MEDIA
382.4,SUPPUR OTITIS MEDIA UNSPEC,UNS SUPPURATIVE OTITIS MEDIA,UNSPECIFIED SUPPURATIVE OTITIS MEDIA
382.9,OTITIS MEDIA UNSPEC,UNS OTITIS MEDIA,UNSPECIFIED OTITIS MEDIA
